"geoId","MinTemporal","MaxTemporal"
"37","2008","2017"
"40","2008","2017"
"51","2008","2017"
"54","2008","2017"
"22","2008","2017"
"26","2008","2017"
"25","2008","2017"
"16","2008","2017"
"12","2008","2017"
"31","2008","2017"
"53","2008","2017"
"35","2008","2017"
"46","2008","2017"
"48","2008","2017"
"06","2008","2017"
"01","2008","2017"
"13","2008","2017"
"42","2008","2017"
"29","2008","2017"
"08","2008","2017"
"49","2008","2017"
"47","2008","2017"
"56","2008","2017"
"36","2008","2017"
"20","2016","2019"
"32","2008","2017"
"17","2008","2017"
"50","2008","2017"
"30","2008","2017"
"19","2008","2017"
"45","2008","2017"
"33","2008","2017"
"04","2008","2017"
"11","2008","2017"
"34","2005","2019"
"24","2008","2017"
"23","2008","2017"
"10","2008","2017"
"44","2008","2017"
"21","2008","2017"
"39","2008","2017"
"55","2008","2017"
"41","2008","2017"
"38","2008","2017"
"05","2008","2017"
"18","2008","2017"
"27","2008","2017"
"09","2008","2017"
"02","2008","2017"
